"trade_date","ts_code","name","industry","area","pe","float_share","total_share","total_assets","liquid_assets","fixed_assets","reserved","reserved_pershare","eps","bvps","pb","list_date","undp","per_undp","rev_yoy","profit_yoy","gpr","npr","holder_num"
"20240416","300717.SZ","华信新材","塑料","江苏","28.44","1.02","1.03","7.69","3.6","2.84","2.45","2.38","0.29","6.45","1.71","20171106","2.78","2.7","-5.04","-13.35","26.02","12.65","7908"
"20240416","300912.SZ","凯龙高科","环境保护","江苏","0","0.85","1.15","17.01","8.21","6.97","7.54","6.54","-0.09","6.92","1.41","20201207","-0.84","-0.73","61.73","86.64","18.61","-1.34","14300"
"20240416","688237.SH","超卓航科","航空","湖北","34.35","0.42","0.9","14.87","6.32","0.97","9.94","11.1","0.39","14.06","1.26","20220701","2.26","2.52","66.79","-28.76","37.28","19.39","3647"
"20240416","873706.BJ","铁拓机械","专用机械","福建","15.61","0.21","0.92","5.48","2.79","1.47","1.56","1.69","0.68","5.64","1.88","20240308","0.98","1.06","14.69","49.98","32.43","15.23","0"
"20240416","301237.SZ","和顺科技","塑料","浙江","55.22","0.39","0.8","15.99","7.96","1.99","11.11","13.89","0.25","18","1.03","20220323","2.32","2.9","-24.82","-65.82","13.23","6.45","12510"
"20240416","300486.SZ","东杰智能","专用机械","山西","0","3.96","4.07","35.6","22.93","3.91","6.18","1.52","-0.02","3.85","1.05","20150630","4.98","1.22","-25.25","-112.46","20.36","-1.23","25249"
"20240416","300106.SZ","西部牧业","乳制品","新疆","0","2.11","2.11","11.94","7.04","3.33","6.21","2.94","-0.1","2.77","2","20100820","-2.69","-1.28","-10.05","-245.45","13.42","0.23","22300"
"20240416","688227.SH","品高股份","软件服务","广东","0","0.63","1.13","18.01","13.13","0.48","11.29","9.98","-0.39","12.51","0.91","20211230","1.14","1.01","3.83","-188.46","35.56","-27.22","10761"
"20240416","300252.SZ","金信诺","通信设备","深圳","628.23","5.33","6.62","55.19","32.23","7.99","15.14","2.29","0.01","3.64","1.82","20110818","2.27","0.34","-12.44","-87.72","16.54","0.58","49220"
"20240416","300840.SZ","酷特智能","服饰","山东","23.57","1.77","2.4","16.54","7.92","2.96","4.06","1.69","0.39","4.86","2.54","20200708","4.8","2","22.05","55.02","42.19","16.48","10836"
"20240416","300885.SZ","海昌新材","机械基件","江苏","39.74","1.7","2.51","8.64","6.74","1.23","2.24","0.89","0.11","3.26","1.82","20200910","3.04","1.21","-12.7","-44.52","28.31","17.56","16624"
"20240416","300644.SZ","南京聚隆","塑料","江苏","20.15","0.85","1.08","19.8","13.97","4.52","2.51","2.32","0.49","7.56","1.76","20180206","3.95","3.66","2","85.17","15.75","4.19","9901"
"20240416","300074.SZ","华平股份","软件服务","上海","0","5.3","5.31","15.4","8.65","3","2.01","0.38","-0.02","1.95","1.61","20100427","2.68","0.5","11.48","67.29","45.36","-2.36","33395"
"20240416","301066.SZ","万事利","纺织","浙江","46.72","0.72","1.88","8.66","5.7","0.91","2.05","1.09","0.13","3.44","2.34","20210922","2.47","1.31","21.2","61.47","45.14","4.91","9206"
"20240416","301040.SZ","中环海陆","机械基件","江苏","193.93","0.7","1","16.9","10.16","4.19","5.18","5.18","0.04","9.86","1","20210803","3.26","3.26","-37.98","-81.19","7.81","0.78","11232"
"20240416","300466.SZ","赛摩智能","电器仪表","江苏","253.27","4.2","5.36","14.75","10.66","1.05","5.23","0.98","0.02","1.64","3.95","20150528","-1.7","-0.32","-10.09","20.78","36.05","2.93","39303"
"20240416","300135.SZ","宝利国际","化工原料","江苏","609.36","9.22","9.22","24.95","19.32","3.71","0.35","0.04","0.003","1.09","2.05","20101026","-0.13","-0.01","5.87","-72.19","5.67","0.03","38532"
"20240416","871245.BJ","威博液压","机械基件","江苏","23.72","0.24","0.49","4.58","1.72","1.92","1.16","2.38","0.34","6.7","1.61","20220106","1.4","2.87","-12.7","-42.97","18.44","7.66","4507"
"20240416","300211.SZ","亿通科技","通信设备","江苏","0","2.98","3.04","5.97","4.19","0.75","0.54","0.18","-0.002","1.71","2.96","20110505","1.33","0.44","-46.12","-102.22","30.28","-0.31","13658"
"20240416","300338.SZ","开元教育","文教休闲","湖南","0","3.27","4.03","7.81","2.24","0.47","12.63","3.14","-0.08","0.28","8.21","20120726","-14.37","-3.57","-36.96","-148.66","66.5","-11.35","15537"
"20240416","688053.SH","思科瑞","元器件","四川","33.57","0.42","1","18.44","13.86","2.19","12.66","12.66","0.5","16.85","1.34","20220708","3.41","3.41","-21.79","-39.1","56.02","31.81","3876"
"20240416","300780.SZ","德恩精工","机械基件","四川","82.75","1.03","1.47","20.61","7.62","8.44","5.75","3.92","0.12","8.27","1.65","20190531","4.13","2.82","-29.09","-82.58","24.45","4.9","28428"
"20240416","300892.SZ","品渥食品","乳制品","上海","0","0.44","1","13.6","8.86","1.44","6.09","6.09","-0.7","10.77","1.18","20200924","3.36","3.36","-26.54","-532.33","13.79","-8.15","10371"
"20240416","300071.SZ","福石控股","广告包装","北京","0","9.06","9.48","12.64","10.26","0.05","3","0.32","-0.02","0.28","8.28","20100421","-9.69","-1.02","11.87","-149.48","23.58","-2.63","39908"
"20240416","300165.SZ","天瑞仪器","电器仪表","江苏","0","4","4.96","36.55","30.52","1.68","7.88","1.59","-0.03","3.02","1.09","20110125","1.37","0.28","-12.58","64.86","40.62","-2.98","28555"
"20240416","301067.SZ","显盈科技","元器件","深圳","82.94","0.45","0.97","12.34","5.37","3.77","5.57","5.73","0.15","8.71","1.97","20210922","1.65","1.69","-12","-77.35","23.5","3.68","8645"
"20240416","300030.SZ","阳普医疗","医疗保健","广东","283.97","2.71","3.09","14.73","7.16","3.2","3.99","1.29","0.01","2.55","1.53","20091225","0.33","0.11","-10.79","105.51","40.06","1.17","27800"
"20240416","300044.SZ","赛为智能","软件服务","深圳","142.25","6.85","7.64","18.14","10.79","0.13","9.56","1.25","0.02","1.07","4.01","20100120","-9.41","-1.23","35.71","157.42","28.95","4.65","96023"
"20240416","301307.SZ","美利信","通信设备","重庆","33.46","0.5","2.11","56.97","22.91","25.28","25.84","12.27","0.7","15.49","1.39","20230424","4.26","2.02","0.6","-39.32","15.54","4.26","20029"
"20240416","300293.SZ","蓝英装备","专用机械","辽宁","0","2.8","3.38","21.21","11.77","2.11","6.09","1.8","-0.01","2.58","4.35","20120308","-1.26","-0.37","35.73","7.61","24.41","-0.41","66102"
"20240416","300830.SZ","金现代","软件服务","山东","166.88","3.1","4.3","15.37","11.97","0.6","2.51","0.58","0.03","2.79","1.76","20200506","4.4","1.02","-19.11","-77.88","45.5","2.47","28281"
"20240416","300585.SZ","奥联电子","汽车配件","江苏","168.27","1.6","1.71","9.74","4.97","1.18","2.57","1.5","0.04","4.23","2.36","20161229","2.64","1.54","27.33","-63.67","27.5","2.13","24675"
"20240416","301118.SZ","恒光股份","化工原料","湖南","0","0.54","1.07","23","9.79","8.2","6.85","6.42","-0.13","13.24","1.08","20211118","5.31","4.97","-17.9","-108.39","10.57","-2.23","13593"
"20240416","300640.SZ","德艺文创","家居用品","福建","40.11","2.2","3.12","9.17","3.58","2.47","3.82","1.22","0.07","2.6","1.46","20170417","0.89","0.29","-17.59","-48.92","19.28","4.03","10949"
"20240416","300067.SZ","安诺其","染料涂料","上海","0","7.72","11.54","31.05","12.17","5.03","4.93","0.43","-0.01","2.21","1.48","20100421","7.22","0.63","-1.6","-122.83","13.93","-1.02","61888"
"20240416","300929.SZ","华骐环保","环境保护","安徽","40.82","1.24","1.32","18.06","7.34","0.47","3.47","2.62","0.13","6.47","1.08","20210120","3.35","2.54","-13.32","-59.75","27.14","5.98","11408"
"20240416","300956.SZ","英力股份","元器件","安徽","0","0.57","1.32","24.89","13.54","8.78","5.86","4.44","-0.21","7.72","1.21","20210326","2.88","2.18","-7.85","-220.44","9.66","-2.77","12362"
"20240416","300950.SZ","德固特","专用机械","山东","30.89","0.9","1.5","10.26","7.64","1.15","1.88","1.25","0.25","4.41","2.34","20210303","2.64","1.75","14.58","-24.98","36.83","16.48","13596"
"20240416","300657.SZ","弘信电子","元器件","福建","70.65","4.63","4.88","53.38","30.47","16.21","14.56","2.98","0.06","2.66","6.11","20170523","-5.61","-1.15","161.08","137.72","12.79","4.78","32429"
"20240416","300198.SZ","纳川股份","塑料","福建","0","9.08","10.32","31.41","8.87","2.47","0.64","0.06","-0.05","0.98","1.44","20110407","-1.57","-0.15","-21.4","58.67","11.96","-20.84","31565"
"20240416","300381.SZ","溢多利","化学制药","广东","124.56","4.87","4.9","30.19","17.34","6.18","16.18","3.3","0.03","5.36","0.78","20140128","5.24","1.07","-37.01","-53.51","45.98","3.17","19657"
"20240416","300689.SZ","澄天伟业","通信设备","深圳","75.04","1.01","1.16","7.76","4.34","2.03","2.02","1.74","0.11","5.91","1.85","20170809","3.51","3.04","-20.91","-60.73","17.11","4.06","9165"
"20240416","301028.SZ","东亚机械","专用机械","福建","16.45","1.08","3.79","17.77","12.35","2.48","3.62","0.96","0.35","3.34","2.28","20210720","4.37","1.15","16.3","-6.99","30.67","17.82","17503"
"20240416","301398.SZ","星源卓镁","汽车配件","浙江","41.37","0.22","0.8","11.43","7.98","2.39","6.6","8.25","1","13.16","3.15","20221215","2.76","3.45","30.16","42.42","35.68","22.74","13518"
"20240416","300125.SZ","聆达股份","电气设备","辽宁","120.01","2.63","2.68","21.19","4.6","11.3","6.6","2.47","0.03","2.57","1.95","20101013","-2.67","-1","-27.58","124.39","16.53","1.09","14479"
"20240416","300099.SZ","尤洛卡","电器仪表","山东","30.59","5.79","7.37","25.94","15.57","3","11.03","1.5","0.1","3.09","1.33","20100806","3.35","0.45","-11.67","-23.74","50.95","16.9","35228"
